Comment,Designator,Footprint,LCSC
MCP9808_DFN,U3,MSOP-8-1EP_3x3mm_P0.65mm_EP2.5x3mm_Mask1.73x2.36mm,C129490
VEML7700,U1,XDCR_VEML7700-TT,C1850416
1k,R1,R_0603_1608Metric,C21190
CQY99,D4,LED_0603_1608Metric,C2288
1uF,"C1,C2,C3",C_0805_2012Metric,C28323
CDBA240LL-HF,"D1,D2,D3",DO-214AC,C2886093
DRV2605LDGS,U2,VSSOP-10_3x3mm_P0.5mm,C527464
Conn_01x01,J4,MountingHoles,
Conn_01x01,J5,MountingHoles,
Conn_01x01,J6,MountingHoles,
Conn_01x01,J7,MountingHoles,
TestPoint,TP1,Test Pad,
SM101K07TF,SC5,KXOB101K08F-TR,
TestPoint,TP2,Test Pad,
SM101K07TF,SC3,KXOB101K08F-TR,
SM101K07TF,SC4,KXOB101K08F-TR,
SM101K07TF,SC6,KXOB101K08F-TR,
SM101K07TF,SC1,KXOB101K08F-TR,
CON-5040500591,J1,CON_5040500591,
~,U5,camera_daughter,
Face0,J2,CON_5040500591,
Face1,J3,CON_5040500591,
~,U4,mux_driver,
SM101K07TF,SC2,KXOB101K08F-TR,
Face3,J9,CON_5040500591,
Face2,J8,CON_5040500591,
